Control Mode;EV | PV Penetration;count;mean;std;min;25%;50%;75%;max
voltvar;100 | 80;1000.00;5449.85;1374.73;2200.34;4420.67;5262.34;6277.82;11991.36
voltvar;20 | 0;1000.00;740.97;480.56;0.00;402.27;673.80;1002.82;2824.30
voltvar;20 | 100;750.00;5080.24;2547.05;95.25;3142.58;4873.06;6650.62;16828.97
voltvar;20 | 20;1000.00;703.15;502.84;0.00;334.81;611.27;962.44;3315.69
voltvar;20 | 40;1000.00;904.32;616.31;0.00;455.39;788.63;1216.54;3892.45
voltvar;20 | 60;1000.00;1997.93;1395.09;1.58;931.95;1675.85;2659.06;9264.91
voltvar;20 | 80;932.00;3528.85;1904.31;132.24;2130.01;3254.55;4630.02;11457.43
voltvar;40 | 0;785.00;1532.29;668.17;0.00;1028.98;1476.61;1916.99;4303.93
voltvar;40 | 100;807.00;5297.39;2457.84;390.28;3533.72;5019.98;6586.07;18454.20
voltvar;40 | 20;782.00;1436.65;633.92;36.69;972.82;1366.62;1834.69;4531.24
voltvar;40 | 40;1000.00;1572.03;739.67;166.98;1055.84;1467.90;1991.54;8663.50
voltvar;40 | 60;1000.00;2382.09;1240.40;395.96;1500.24;2149.43;3014.81;9745.74
voltvar;40 | 80;792.00;3816.17;1715.36;516.39;2590.10;3495.74;4826.26;10339.35
voltvar;60 | 0;1000.00;2650.66;794.80;413.20;2089.89;2576.94;3182.89;5400.81
voltvar;60 | 100;1000.00;5462.53;1975.58;1216.85;4113.44;5269.19;6586.80;16079.99
voltvar;60 | 20;1000.00;2433.56;781.24;643.59;1895.93;2353.42;2874.72;5302.95
voltvar;60 | 40;1000.00;2509.87;824.84;748.75;1912.74;2432.76;3009.72;6307.42
voltvar;60 | 60;1000.00;3225.78;1246.46;974.88;2353.53;3031.45;3895.76;10087.62
voltvar;60 | 80;1000.00;4203.50;1561.57;1075.46;3056.23;3980.70;5081.39;13080.19
voltvar;80 | 0;1000.00;3583.99;875.04;1276.20;2951.03;3480.49;4170.29;7126.19
voltvar;80 | 100;1000.00;6041.87;1885.18;1932.98;4741.38;5822.15;7124.54;17030.50
voltvar;80 | 20;1000.00;3341.98;878.17;1364.77;2721.79;3256.66;3867.21;6877.82
voltvar;80 | 40;1000.00;3390.42;887.01;1483.11;2766.98;3268.73;3894.77;6746.33
voltvar;80 | 60;1000.00;3912.82;1113.75;1339.62;3123.32;3779.14;4545.99;9477.60
voltvar;80 | 80;1000.00;4764.66;1427.81;1623.47;3767.26;4585.15;5477.94;12668.91
voltwatt;0 | 100;1000.00;364.17;336.08;0.00;123.15;270.50;507.47;1932.11
voltwatt;0 | 20;1000.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
voltwatt;0 | 40;1000.00;2.37;19.78;0.00;0.00;0.00;0.00;421.85
voltwatt;0 | 60;1000.00;38.93;111.61;0.00;0.00;0.00;22.70;1335.87
voltwatt;0 | 80;1000.00;143.63;205.32;0.00;0.75;67.63;192.16;1597.00
voltwatt;100 | 0;1000.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
voltwatt;100 | 100;1000.00;280.74;294.64;0.00;71.04;188.66;422.85;2242.83
voltwatt;100 | 20;1000.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
voltwatt;100 | 40;1000.00;1.10;13.75;0.00;0.00;0.00;0.00;363.28
voltwatt;100 | 60;1000.00;20.86;76.00;0.00;0.00;0.00;0.00;880.69
voltwatt;100 | 80;1000.00;99.08;182.39;0.00;0.00;12.95;131.42;1936.43
voltwatt;20 | 0;1000.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
voltwatt;20 | 100;750.00;348.17;333.21;0.00;110.21;253.50;481.23;2165.68
voltwatt;20 | 20;1001.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
voltwatt;20 | 40;1000.00;0.97;10.39;0.00;0.00;0.00;0.00;232.34
voltwatt;20 | 60;1000.00;29.63;86.83;0.00;0.00;0.00;3.59;848.63
voltwatt;20 | 80;931.00;136.54;191.31;0.00;0.00;61.58;198.57;1558.38
voltwatt;40 | 0;783.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
voltwatt;40 | 100;807.00;352.04;356.29;0.00;93.91;254.61;504.77;3103.89
voltwatt;40 | 20;783.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
voltwatt;40 | 40;1000.00;1.44;18.21;0.00;0.00;0.00;0.00;521.89
voltwatt;40 | 60;1000.00;27.51;84.63;0.00;0.00;0.00;0.68;856.66
voltwatt;40 | 80;792.00;131.75;205.16;0.00;0.00;50.24;164.52;1701.10
voltwatt;60 | 0;1000.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
voltwatt;60 | 100;1000.00;298.37;310.51;0.00;81.73;204.47;421.66;2614.45
voltwatt;60 | 20;1000.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
voltwatt;60 | 40;1000.00;0.44;4.23;0.00;0.00;0.00;0.00;57.58
voltwatt;60 | 60;1000.00;26.75;84.30;0.00;0.00;0.00;0.00;903.81
voltwatt;60 | 80;1000.00;102.68;181.21;0.00;0.00;26.77;125.63;1458.76
voltwatt;80 | 0;1000.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
voltwatt;80 | 100;1000.00;287.91;307.70;0.00;72.16;194.10;404.48;2043.84
voltwatt;80 | 20;1000.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
voltwatt;80 | 40;1000.00;0.73;10.71;0.00;0.00;0.00;0.00;255.22
voltwatt;80 | 60;1000.00;22.50;75.18;0.00;0.00;0.00;0.00;789.22
voltwatt;80 | 80;1000.00;103.26;185.10;0.00;0.00;20.04;119.09;1554.31
