Control Mode;EV | PV Penetration;count;mean;std;min;25%;50%;75%;max
no_control;0 | 100;1000.00;7700.55;2698.78;1263.06;5888.19;7711.31;9353.54;17876.08
no_control;0 | 20;1000.00;1369.85;480.62;314.65;1018.12;1347.09;1675.54;2917.99
no_control;0 | 40;1000.00;2906.25;1012.69;641.14;2178.81;2870.02;3563.01;6214.68
no_control;0 | 60;1000.00;4482.62;1572.85;1041.60;3367.47;4366.96;5442.83;10126.53
no_control;0 | 80;1000.00;6067.19;2222.00;1258.34;4486.14;5870.96;7444.91;14404.86
no_control;100 | 0;1000.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
no_control;100 | 100;984.00;7692.69;2693.68;1275.16;5764.31;7550.16;9394.52;17231.79
no_control;100 | 20;1000.00;1361.11;483.40;281.13;993.95;1327.95;1709.99;3005.45
no_control;100 | 40;1000.00;2870.17;1019.45;584.86;2131.74;2806.52;3505.04;6514.00
no_control;100 | 60;1000.00;4380.77;1606.69;777.93;3158.78;4288.05;5420.32;10302.25
no_control;100 | 80;1000.00;5997.88;2158.70;1194.56;4422.09;5798.28;7401.19;15312.62
no_control;20 | 0;1000.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
no_control;20 | 100;776.00;5982.67;3850.81;2.06;2775.76;6417.23;8742.25;16004.62
no_control;20 | 20;1000.00;1367.85;491.34;228.97;1016.40;1342.06;1698.22;3430.59
no_control;20 | 40;1000.00;2975.44;1002.77;660.71;2250.90;2919.22;3587.78;6747.30
no_control;20 | 60;976.00;4442.40;1502.97;928.99;3346.40;4341.94;5408.24;9723.02
no_control;20 | 80;849.00;5094.12;2852.22;0.00;3123.41;5431.08;7031.70;13261.50
no_control;40 | 0;815.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
no_control;40 | 100;832.00;6553.90;3751.37;2.48;4171.84;6715.78;9061.98;21642.57
no_control;40 | 20;844.00;1175.88;616.87;0.00;792.56;1215.14;1586.57;2796.22
no_control;40 | 40;976.00;2951.58;1052.13;470.06;2179.27;2898.33;3667.69;7125.49
no_control;40 | 60;846.00;3706.28;2066.75;0.00;2415.23;3749.01;5187.52;9610.83
no_control;40 | 80;939.00;5923.50;2166.04;984.08;4375.98;5749.73;7319.62;13381.49
no_control;60 | 0;1000.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
no_control;60 | 100;879.00;6513.47;3394.21;3.63;4411.66;6664.30;8870.49;15832.39
no_control;60 | 20;945.00;1371.79;489.58;231.02;1020.92;1327.89;1678.19;3351.07
no_control;60 | 40;1000.00;2910.32;1034.91;573.54;2180.04;2873.56;3570.49;6239.94
no_control;60 | 60;882.00;3832.88;2011.60;0.00;2636.17;3932.95;5242.77;10216.08
no_control;60 | 80;924.00;6026.49;2138.20;1110.54;4486.98;5914.63;7459.19;12787.98
no_control;80 | 0;1000.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
no_control;80 | 100;1000.00;7757.82;2797.40;1617.01;5727.03;7600.55;9611.40;17810.71
no_control;80 | 20;1000.00;1370.92;497.11;250.78;1019.66;1323.02;1690.87;3124.09
no_control;80 | 40;1000.00;2938.29;1052.16;587.50;2151.79;2872.36;3637.15;6647.43
no_control;80 | 60;1000.00;4339.65;1585.04;616.65;3163.76;4282.86;5299.40;9916.91
no_control;80 | 80;1000.00;5936.90;2103.23;1023.63;4327.95;5886.47;7411.89;12283.13
voltvar;0 | 100;1000.00;7532.92;2622.40;1255.86;5757.23;7537.88;9134.96;17432.55
voltvar;0 | 20;1000.00;1364.57;478.64;313.81;1014.62;1342.48;1669.94;2904.20
voltvar;0 | 40;1000.00;2888.89;1005.83;638.44;2166.73;2854.10;3543.83;6185.92
voltvar;0 | 60;1000.00;4441.21;1554.35;1036.96;3341.71;4329.23;5394.03;10018.55
voltvar;0 | 80;1000.00;5975.14;2178.92;1250.94;4418.89;5790.73;7348.24;14197.04
voltvar;100 | 0;1000.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
voltvar;100 | 100;984.00;7543.49;2624.26;1270.85;5659.94;7407.00;9198.45;16800.06
voltvar;100 | 20;1000.00;1358.09;482.21;280.37;992.19;1326.13;1706.65;2998.45
voltvar;100 | 40;1000.00;2857.37;1013.80;583.18;2123.15;2796.24;3484.36;6484.04
voltvar;100 | 60;1000.00;4346.48;1590.38;775.77;3137.71;4256.84;5373.06;10187.49
voltvar;100 | 80;1000.00;5920.46;2122.64;1189.47;4380.36;5719.74;7307.65;14910.27
voltvar;20 | 0;1000.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
voltvar;20 | 100;588.00;7516.24;2629.62;1806.34;5636.86;7485.98;9305.80;15574.48
voltvar;20 | 20;1000.00;1362.93;489.40;228.36;1014.19;1336.73;1691.44;3418.48
voltvar;20 | 40;1000.00;2957.87;995.86;658.04;2237.47;2898.85;3564.55;6707.62
voltvar;20 | 60;976.00;4401.67;1485.91;924.78;3326.61;4308.99;5346.58;9580.25
voltvar;20 | 80;699.00;5947.78;2120.17;1434.41;4440.39;5893.37;7251.56;13011.43
voltvar;40 | 0;674.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
voltvar;40 | 100;679.00;7616.59;2764.16;2484.64;5517.75;7456.52;9407.92;16381.19
voltvar;40 | 20;708.00;1356.27;467.22;285.69;1023.45;1338.98;1662.10;2786.93
voltvar;40 | 40;975.00;2937.60;1042.97;750.19;2168.05;2883.90;3647.82;7086.98
voltvar;40 | 60;699.00;4338.85;1554.73;1058.13;3141.72;4182.32;5476.23;9540.90
voltvar;40 | 80;939.00;5836.77;2125.30;979.31;4313.04;5666.51;7196.19;13192.17
voltvar;60 | 0;1000.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
voltvar;60 | 100;747.00;7327.97;2596.25;1253.00;5459.13;7153.19;9086.43;15417.72
voltvar;60 | 20;945.00;1366.48;489.84;82.97;1015.22;1323.48;1673.12;3343.29
voltvar;60 | 40;1000.00;2894.63;1028.20;571.56;2169.74;2857.93;3554.56;6203.97
voltvar;60 | 60;749.00;4385.84;1529.01;774.94;3223.62;4334.64;5472.40;10079.22
voltvar;60 | 80;924.00;5941.72;2098.98;1105.12;4425.43;5836.08;7341.57;12618.76
voltvar;80 | 0;1000.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
voltvar;80 | 100;1000.00;7600.58;2722.02;1608.52;5615.21;7455.27;9385.06;17293.75
voltvar;80 | 20;1000.00;1367.40;495.75;250.26;1016.89;1320.62;1686.19;3115.94
voltvar;80 | 40;1000.00;2923.82;1045.83;586.09;2142.35;2858.01;3620.50;6599.81
voltvar;80 | 60;1000.00;4304.81;1569.07;615.09;3134.91;4245.24;5254.72;9810.92
voltvar;80 | 80;1000.00;5856.19;2065.35;1019.21;4274.70;5808.22;7292.93;12061.82
voltwatt;0 | 100;1000.00;4171.44;1059.96;1247.77;3477.39;4146.32;4858.51;9029.05
voltwatt;0 | 20;1000.00;1311.35;451.80;314.00;985.68;1282.54;1602.39;2692.41
voltwatt;0 | 40;1000.00;2429.21;787.86;639.62;1864.99;2404.06;2935.89;5543.69
voltwatt;0 | 60;1000.00;3216.10;956.43;1038.61;2557.37;3136.09;3802.76;7024.86
voltwatt;0 | 80;1000.00;3738.02;1071.84;1244.90;3004.79;3663.27;4401.73;8303.03
voltwatt;100 | 0;1000.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
voltwatt;100 | 100;984.00;4550.02;1209.25;1287.84;3700.64;4502.35;5331.69;8975.59
voltwatt;100 | 20;1000.00;1349.63;470.29;287.48;997.22;1317.07;1691.35;2979.75
voltwatt;100 | 40;1000.00;2544.10;846.39;592.10;1938.73;2490.48;3064.38;5761.23
voltwatt;100 | 60;1000.00;3393.12;1082.82;793.50;2593.51;3345.57;4099.12;6797.58
voltwatt;100 | 80;1000.00;4014.41;1169.97;1209.73;3179.65;3905.62;4806.53;8197.46
voltwatt;20 | 0;1000.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
voltwatt;20 | 100;588.00;4233.03;1076.60;1497.33;3484.63;4273.32;4949.08;7360.05
voltwatt;20 | 20;1000.00;1318.97;461.20;228.89;992.16;1283.01;1622.43;3153.01
voltwatt;20 | 40;1000.00;2506.31;776.70;636.85;1955.15;2449.21;3008.32;5553.30
voltwatt;20 | 60;976.00;3237.84;930.01;924.67;2566.32;3183.88;3865.34;6321.61
voltwatt;20 | 80;699.00;3796.45;1055.18;1383.38;3074.53;3757.05;4487.18;7365.37
voltwatt;40 | 0;673.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
voltwatt;40 | 100;678.00;4344.08;1178.66;2052.15;3445.45;4194.40;5088.87;8295.66
voltwatt;40 | 20;708.00;1323.02;445.66;288.56;999.05;1293.00;1606.26;2648.29
